,eta,L2
1268,-0.251444358966535,0.0021531963430088488
1269,-0.25149017595727075,0.0021839599663484605
1270,-0.25154775470445095,0.0022226254094032025
1271,-0.2516060586709117,0.00226178289295366
1272,-0.25166501583279616,0.002301384226861565
1273,-0.251724307176661,0.0023412152630201367
1274,-0.2517846293328222,0.0023817441713764997
1275,-0.2518453491821575,0.002422545770082483
1276,-0.25190636675341754,0.0024635529788773446
1277,-0.2519681424406737,0.002505075355440898
1278,-0.2520289475770545,0.0025459509537475626
1279,-0.2520918294219733,0.0025882284170646455
1280,-0.2521546795309738,0.0026304904591727156
1281,-0.2522168523009629,0.0026723028625435827
1282,-0.2522799333594849,0.002714732027804391
1283,-0.25234443207368445,0.0027581208955046836
1284,-0.2524087603693051,0.002801401335919
1285,-0.25247363471844964,0.0028450554528989427
1286,-0.2525388531735687,0.0028889474880694436
1287,-0.25260477664034114,0.0029333204883387034
1288,-0.25267138133656347,0.0029781586548208406
1289,-0.2527380390634166,0.0030230391980557735
1290,-0.25280611541493625,0.0030688817963122903
1291,-0.25287415800654217,0.003114708628560644
1292,-0.2529424937486429,0.003160739912905934
1293,-0.2529997352348705,0.003199303466033922
1294,-0.25306239834714067,0.00324152522541503
1295,-0.25312147394423506,0.0032813351741636035
1296,-0.25318407081431304,0.0033235237859201164
1297,-0.2532439907892189,0.0033639137794917095
1298,-0.2533066313617961,0.003406143427685605
1299,-0.25336821650894775,0.003447667327878031
1300,-0.2534326700777526,0.003491131402148239
1301,-0.25349517813212313,0.00353328952094561
1302,-0.25355907157917607,0.00357638811310521
1303,-0.2536224186478541,0.003619124247635465
1304,-0.25368512440190916,0.0036614337092709956
1305,-0.25375051021884637,0.0037055578295493146
1306,-0.25381530846555145,0.003749291829540588
1307,-0.25388225794272423,0.0037944844325632793
1308,-0.2539469326870045,0.003838147985169324
1309,-0.25401425189134974,0.003883603617515274
1310,-0.25407813656848277,0.0039267465289847744
1311,-0.2541454829444595,0.003972233919645676
1312,-0.2542124976495989,0.004017504128935577
1313,-0.25427966422948256,0.004062883780379386
1314,-0.2543480326000117,0.004109082438609399
1315,-0.25441646394869843,0.004155330771643224
1316,-0.25448488512423323,0.004201579352876381
1317,-0.25455524416281317,0.0042491452445383455
1318,-0.2546243173750763,0.004295849193563684
1319,-0.2546945650884966,0.004343354739626957
1320,-0.25476407964127507,0.004390371885903563
1321,-0.25483643313394305,0.004439317017138101
1322,-0.2549072928361358,0.004487259383516795
1323,-0.2549807858009618,0.004536991465396147
1324,-0.25505208259376044,0.004585245300251671
1325,-0.2551234440819587,0.0046335507003676234
1326,-0.2551977034068405,0.004683825946440925
1327,-0.2552724289317768,0.0047344253364167395
1328,-0.25534365034302875,0.004782659917861749
1329,-0.25541838958594865,0.004833285298047298
1330,-0.2554931189347226,0.004883912533522966
1331,-0.2555673262906919,0.004934194603746609
1332,-0.2556432097252972,0.004985621100634703
1333,-0.2557202795986917,0.005037860696865369
1334,-0.25579706977506583,0.005089919779183233
1335,-0.2558751537620774,0.0051428652759253415
1336,-0.25595412186903843,0.005196419789359193
1337,-0.2560335482922959,0.005250294797695179
1338,-0.2561128935994734,0.005304124477847025
1339,-0.2561925962623629,0.005358206355273419
1340,-0.2562720288711581,0.005412114725412486
1341,-0.2563524066663238,0.005466674463149577
1342,-0.2564313690775172,0.005520283153084497
1343,-0.25651272489607535,0.005575526824346783
1344,-0.2565949769280038,0.005631389447276197
1345,-0.2566755015050946,0.005686088969905818
1346,-0.2567578344332942,0.005742027250335015
1347,-0.2568395131895384,0.005797531435956011
1348,-0.25692366486926926,0.005854726876261796
1349,-0.25700655929120464,0.005911078516214202
1350,-0.25709061938286176,0.005968233450832863
1351,-0.2571756383361074,0.006026051486496939
1352,-0.2572582226300119,0.006082224541979729
1353,-0.2573438348358606,0.006140468329722686
1354,-0.2574293190722239,0.006198636414802599
1355,-0.2575167263552662,0.006258124786680578
1356,-0.2576005463768357,0.006315182869087879
1357,-0.2576876717938252,0.006374502591443914
1358,-0.257774804833441,0.006433839323061486
1359,-0.25786364861811667,0.00649435323275933
1360,-0.2579514093619247,0.0065541415337338985
1361,-0.25804155710392374,0.006615568520182776
1362,-0.2581314998638962,0.006676868471531347
1363,-0.2582193772101446,0.00673677295461304
1364,-0.25830943352758023,0.006798175325628888
1365,-0.25839893895270055,0.0068592146519828425
1366,-0.25849136750567175,0.006922260597363247
1367,-0.25858117269834613,0.006983529948472679
1368,-0.2586743441595116,0.007047109282172486
1369,-0.2587638849853362,0.007108223928692819
1370,-0.25885790243561635,0.007172407559717705
1371,-0.2589505771734467,0.007235688130800646
1372,-0.25904333188507145,0.007299036818749273
1373,-0.2591384447986005,0.007364010131651534
1374,-0.2592330319458204,0.0074286383960500985
1375,-0.25932797702056504,0.0074935253826661505
1376,-0.2594228589170348,0.007558383376573163
1377,-0.2595177956546536,0.007623293059539863
1378,-0.25961505733877405,0.007689807085295749
1379,-0.2597109071837367,0.007755370208070627
1380,-0.25980712677813045,0.00782120084055399
1381,-0.2599047354769784,0.007887996808241864
1382,-0.2600028865490183,0.007955179128869717
1383,-0.260100071886674,0.008021715447334009
1384,-0.26019842404001503,0.00808906583576326
1385,-0.26029804325900197,0.008157299524011629
1386,-0.2603987998223752,0.008226328240692048
1387,-0.26049956269418195,0.008295377393325537
1388,-0.26059988622878083,0.008364141504902362
1389,-0.2607019483803153,0.008434113721050782
1390,-0.26080345615437284,0.008503722298623678
1391,-0.2609054724495037,0.008573696117189476
1392,-0.2610070263767716,0.008643369259267831
