,eta,L2
6819,-0.42260584836835985,0.39858649063639207
6820,-0.42262492373605326,0.398574171103253
6821,-0.4226440322169821,0.39856180202764213
6822,-0.4226631927614484,0.3985493713653613
6823,-0.4226824101741899,0.39853687616826466
6824,-0.4227016707508524,0.39852432553481093
6825,-0.4227209446840567,0.39851173916556026
6826,-0.42274028143535985,0.3984990849959472
6827,-0.42275966303521484,0.3984863749521636
6828,-0.4227790702099847,0.3984736219162569
6829,-0.42279852264197837,0.3984608131942974
6830,-0.42281801418404824,0.39844795304507064
6831,-0.42283753344252945,0.39843504922838147
6832,-0.4228571136640946,0.398422079966139
6833,-0.4228766954046517,0.398409084878368
6834,-0.422896356579721,0.39839601246965606
6835,-0.4229160692319465,0.3983828814452175
6836,-0.4229358131685199,0.39836970546118244
6837,-0.42295560870267085,0.39835647116640194
6838,-0.4229754118187868,0.39834320823306957
6839,-0.4229952693059872,0.3983298855620786
6840,-0.42301514407172286,0.3983165282599243
6841,-0.4230350706233423,0.39830311335586277
6842,-0.42305504666127736,0.39828964256494936
6843,-0.4230750844109643,0.3982761077910425
6844,-0.42309513532146575,0.3982625420372246
6845,-0.42311523070388857,0.39824892435591197
6846,-0.4231353904347738,0.3982352414288874
6847,-0.4231555739724165,0.3982215209571781
6848,-0.42317573652261736,0.39820779370747783
6849,-0.4231960010470851,0.3981939761569645
6850,-0.4232163080646523,0.39818010895759803
6851,-0.4232366180925714,0.39816621931590135
6852,-0.4232569522590889,0.39815229305242794
6853,-0.42327735788921766,0.3981382979228235
6854,-0.4232977441048128,0.3981242964838647
6855,-0.4233182278978078,0.3981102085741384
6856,-0.4233387666402355,0.3980960635968898
6857,-0.42335932297090617,0.3980818874794562
6858,-0.42337990188435576,0.39806767701816675
6859,-0.42340048235649597,0.3980534469897854
6860,-0.42342115422325177,0.398039135445194
6861,-0.4234418519973279,0.39802478785565487
6862,-0.42346259300434796,0.398010392406979
6863,-0.423483350387517,0.39799596794701453
6864,-0.4235041405194809,0.39798150331604565
6865,-0.42352497122867644,0.39796699325603613
6866,-0.42354584786317706,0.3979524342109782
6867,-0.4235667538805793,0.3979378379007221
6868,-0.42358770597647816,0.3979231928505155
6869,-0.4236086827389354,0.3979085142148187
6870,-0.42362969999984706,0.3978937911073802
6871,-0.42365074712070866,0.397879031165325
6872,-0.4236718277064603,0.39786423205457727
6873,-0.4236929280046905,0.3978494036309338
6874,-0.4237140874086024,0.3978345183847809
6875,-0.42373527230319336,0.3978196001300468
6876,-0.42375646422673635,0.3978046620884529
6877,-0.42377773632821575,0.39778965286040585
6878,-0.42379903181982564,0.3977746126594529
6879,-0.42382032697140537,0.3977595584721547
6880,-0.4238416741678794,0.3977444534617951
6881,-0.42386307350930036,0.39772929770173193
6882,-0.423884506148633,0.397714104702672
6883,-0.4239059681346084,0.3976988774477046
6884,-0.4239274594837379,0.3976836161112063
6885,-0.4239489725179647,0.397668326337447
6886,-0.42397051522239,0.3976530026418559
6887,-0.4239920702500434,0.3976376575606757
6888,-0.42401366697016796,0.3976222703707789
6889,-0.42403532002734734,0.39760683078582826
6890,-0.4240570009742355,0.39759135924825423
6891,-0.4240787122291187,0.3975758542125162
6892,-0.42410044479370435,0.3975603222882915
6893,-0.42412220932907563,0.3975447560385522
6894,-0.42414398508579443,0.3975291704908934
6895,-0.42416579412369165,0.3975135500435737
6896,-0.4241876358064583,0.39749789532077406
6897,-0.42420954306103054,0.39748218286647286
6898,-0.42423146101714926,0.3974664521964273
6899,-0.4242534306814104,0.39745067404916856
6900,-0.42427543346110497,0.39743486193063216
6901,-0.4242974770137227,0.39741901049933215
