,eta,L2
728,-0.2600500970606184,0.0029798531486781967
729,-0.2600997903336744,0.002987517748208192
730,-0.2604283846335295,0.003037727494706385
731,-0.26080480686629426,0.0030942818704670578
732,-0.26122165869753233,0.0031557805124875983
733,-0.261665935294793,0.0032200998003855978
734,-0.26213019586608616,0.003286048492309714
735,-0.26261015208788907,0.00335295727220455
736,-0.26310417249163254,0.003420566013151905
737,-0.2636116187110484,0.003488765906727825
738,-0.2641324756213372,0.0035575377886629886
739,-0.26466685391400246,0.0036268804362446453
740,-0.26521494645629046,0.003696803540966015
741,-0.26577695055882844,0.0037673171553424083
742,-0.26635307139889336,0.003838432113899647
743,-0.26694350891993773,0.0039101584346913545
744,-0.26754846062405674,0.003982505766581363
745,-0.26816811873271484,0.0040554831483682816
746,-0.2688026709985725,0.004129099220613626
747,-0.2694523000071234,0.004203362258380451
748,-0.2701171832927295,0.004278280303309464
749,-0.27079749320303126,0.004353861267599909
750,-0.27149339686946355,0.004430113052080631
751,-0.27220505620102003,0.004507043667794944
752,-0.27293262788682876,0.004584661359404082
753,-0.27367626342620827,0.004662974731570975
754,-0.274436109166859,0.0047419928757712615
755,-0.2752123063656677,0.004821725497980993
756,-0.2760049912260264,0.004902183041601395
757,-0.2768142949797136,0.004983376811510048
758,-0.27764034388569137,0.005065319085069895
759,-0.2784832592828468,0.0051480232230760635
760,-0.27934315756619976,0.005231503765979672
761,-0.28022015011504214,0.005315776517731722
762,-0.2811143432164026,0.005400858620181556
763,-0.2802201505239118,0.00531577655939958
764,-0.27934315830059936,0.005231503839756813
765,-0.27848326032283055,0.005148023327717392
766,-0.2776403452044483,0.00506531921862458
767,-0.27681429656360484,0.004983376973303386
768,-0.2760049930530669,0.004902183230111192
769,-0.2752123084136775,0.004821725711598997
770,-0.2744361114211499,0.004741993113615075
771,-0.2736762658671986,0.004662974992247447
772,-0.2729326305029302,0.004584661642307402
773,-0.2722050589761681,0.004507043971813463
774,-0.27149339979038073,0.004430113376355799
775,-0.27079749626284677,0.004353861611965846
776,-0.27011718647544425,0.0042782806665630875
777,-0.26945230330260783,0.004203362639943727
778,-0.26880267439318195,0.0041290996194531995
779,-0.26816812221531655,0.004055483563739501
780,-0.2675484641174882,0.003982506189834599
781,-0.26694351241055675,0.003910158864459343
782,-0.2663530744777082,0.003838432500314512
783,-0.26577695291708914,0.0037673174585948458
784,-0.26521494569542836,0.0036968034548263673
785,-0.2646668463496808,0.0036268794734877516
786,-0.26413244420259296,0.003557533687026065
787,-0.2636115246078881,0.0034887533825176263
788,-0.2631038692335348,0.003420524897414752
789,-0.26260925637081034,0.003352833564412904
790,-0.2621274612876239,0.00328566366928748
791,-0.2616582566114966,0.0032189984219335643
792,-0.2612014127607043,0.0031528199456304956
793,-0.26075669843124566,0.0030871092890786206
794,-0.26032388112282595,0.003021846462728907
795,-0.25990272773688006,0.002957010508884938
796,-0.2594930052305399,0.002892579609082388
797,-0.2590944813497234,0.002828531238671806
798,-0.25870692543413715,0.002764842375331967
799,-0.25833011141554746,0.0027014901305381397
800,-0.2579639597614382,0.0026384766895025244
801,-0.25761446950223355,0.0025768906834614433
802,-0.2574064213359748,0.002539516808264649
803,-0.2575697491833443,0.0025689032221054716
804,-0.25738773322618824,0.002536132558187493
805,-0.2575816598083143,0.002571033005684728
806,-0.2574529309776562,0.0025479196674675995
807,-0.2577030651683091,0.0025926416721778656
808,-0.2576861837999525,0.002589647905615079
809,-0.2580399090989173,0.0026516704621894474
810,-0.25838571817884415,0.0027109318180953672
811,-0.25860259526620943,0.002747447303017685
812,-0.2583785463638953,0.002709715962998845
813,-0.258559504343266,0.00274023067871643
814,-0.25829675615733183,0.0026958107754751683
815,-0.2584500048599775,0.0027218066334555304
816,-0.258221737779049,0.0026829936084428307
817,-0.2584058630652962,0.002714344234194392
818,-0.258290864230376,0.0026948063187679887
819,-0.2584718407340452,0.00272549053064122
820,-0.2586510493971123,0.002755539633274142
821,-0.2588446362562715,0.002787638002543726
822,-0.2591850462347131,0.002843210886627856
823,-0.2595553502472107,0.0029024737489234268
824,-0.25996369782024065,0.0029664817111134507
825,-0.2603456122389494,0.0030251553767519307
826,-0.260739366330321,0.003084521148075182
827,-0.261179754491809,0.0031496496705902396
828,-0.261635423042098,0.003215720786822226
829,-0.26210327041705933,0.003282256810160103
830,-0.26258424588282303,0.0033493762503295902
831,-0.2630781542496695,0.0034170341292126434
832,-0.26358512275323487,0.003485232117262878
833,-0.26410534874159564,0.003553981349384788
834,-0.26463904675461214,0.0036232947721773156
835,-0.2651864291731793,0.003693184524211503
836,-0.2657477054294886,0.003763661891906035
837,-0.266323080420163,0.003834737174210301
838,-0.266912754260545,0.003906419722591256
839,-0.26751692173034247,0.003978717939400555
840,-0.26813577195235966,0.004051639300967973
841,-0.2687694879584984,0.004125190361454377
842,-0.2694182462846968,0.0041993767539660375
843,-0.27008221654189307,0.004274203182139094
844,-0.2707615609016118,0.004349673395093226
845,-0.27145643562673427,0.004425790579335809
846,-0.27216652087898807,0.004502508267767946
847,-0.27289247077528606,0.00457987908617384
848,-0.2736347687557577,0.004657941319141054
849,-0.27439310078993895,0.004736649861046603
850,-0.2751675926156424,0.0048160021481204315
851,-0.2759583375590655,0.004895993751758471
852,-0.2767654159593844,0.004976618730076067
853,-0.27758889432510214,0.005057869534310294
854,-0.27842882425288407,0.005139736895802075
855,-0.2792852414684023,0.005222209732803419
856,-0.2801581647203869,0.005305275053543006
857,-0.281047594762505,0.005388917881981331
858,-0.281953513256611,0.005473121193837402
